"","ds","dep_var","trend","season","holiday","cag_V","Influencer_S","Social_Media_S","Radio_S","beef","chicken","intercept","depVarHat","solID"
"1185","2021-04-18",2634096.81,3264714.80607191,-2503064.15126276,0,-1053761.76129881,0.864947416148632,898.811837452433,3.35934812441518e-115,24445422.5630168,27398556.1136598,85748281.0459715,51552767.2469718,"9_120_12"
"1186","2019-10-20",16903252.55,2304205.62949009,-1521447.86125052,0,-1463579.67390734,95.3866847566465,15.6221316372721,0,78920634.3505653,21565094.6542025,33471228.4979829,99805018.1079165,"10_100_3"
"1187","2019-10-27",17041206.68,2315698.67999562,-1719436.37753855,0,-1074523.99157512,144.739460391727,23.1109047128151,0,78921454.9459466,21568184.917217,33471228.4979829,100011546.024411,"10_100_3"
"1188","2019-11-03",44838814.19,2327191.73323452,-1579302.34241326,0,-946395.513615493,127983.503216215,23.290220289973,0,78767451.5892822,21681271.9758717,33471228.4979829,100378224.235796,"10_100_3"
"1189","2019-11-10",34654156.8,2338684.78647341,-1612413.35271438,-540662.401384275,-1224303.51561218,240623.063713931,23.2940484121421,0,78762149.0012164,21687491.0728739,33471228.4979829,99651591.9486152,"10_100_3"
"1190","2019-11-17",36825456.94,2350177.83409856,-1876793.16814378,0,-1559601.95743936,260591.957894973,0.205293354206409,0,78761967.0792014,21687833.966356,33471228.4979829,99624175.9172612,"10_100_3"
"1191","2019-11-24",39523546.72,2361670.8817237,-2101614.44563264,40957.5379404583,-615788.484509545,269975.672189468,9.54624139136403e-06,0,78761960.838564,21687852.87467,33471228.4979829,100405014.874955,"10_100_3"
"1192","2019-12-01",58638124.42,2373163.92934885,-2109365.09222305,0,-1496856.95782627,270788.380530734,4.43904559777432e-10,0,78761960.6244866,21637755.6056902,33471228.4979829,99437446.4900071,"10_100_3"
"1193","2019-12-08",34595451,2384656.97618,-1988982.60997485,0,-1159900.64834571,276008.273027983,2.06417636120695e-14,0,79026911.9310048,21634989.7092529,33471228.4979829,100173683.631145,"10_100_3"
"1194","2019-12-15",38934322.21,2396150.02301116,-1889582.82196593,0,-4124294.9981795,276457.913363077,2.45106884583202,0,79035942.8330489,21634837.1768846,33471228.4979829,97329512.5772312,"10_100_3"
"1195","2019-12-22",45290872.74,2407643.06984231,-1796850.13583295,-225696.648894995,-1216000.06783338,274937.16168438,2.58865805537988,0,79036252.5593675,21634828.7656299,33471228.4979829,100115117.292621,"10_100_3"
"1196","2019-12-29",64776493.72,2419136.10921242,-1603462.15859842,-302722.732150566,-827170.137692259,263379.5115943,0.000120374919070098,0,79036263.1840667,21634828.3018008,33471228.4979829,100620252.078353,"10_100_3"
"1197","2020-01-05",64894467.84,2430629.14858254,-1332150.40391619,0,-2004164.45975762,339426.615844335,5.5974884029369e-09,0,79162229.4253367,22692905.8393666,33471228.4979829,101288876.165456,"10_100_3"
"1198","2020-01-12",24732351.93,2442122.19083063,-1160729.64284355,0,-1700746.46016695,7469.46118952712,1.52810884402372,0,79166537.4048352,22749711.1630904,33471228.4979829,101504365.645044,"10_100_3"
"1199","2020-01-19",26557621.63,2453615.23307872,-1198607.77518196,59399.9920076465,-1193382.52018783,5393.87109047717,1.61384042239297,0,79166685.16935,22752838.9804859,33471228.4979829,102045944.564483,"10_100_3"
"1200","2020-01-26",26292907.18,2465108.27532682,-1332329.78068602,0,-1383839.76715821,5498.87851893311,1.61569756024299,0,79166690.238211,22753011.4462904,33471228.4979829,101674140.9062,"10_100_3"
"1201","2020-02-02",28287255.18,2476601.31168697,-1373474.7199604,0,-1321913.11923785,5507.9290392981,1.61573712577272,0,79056533.9433943,22429417.82577,33471228.4979829,101272674.78643,"10_100_3"
"1202","2020-02-09",32890363.52,2488094.34804711,-1319762.6875238,0,-1083511.75068318,5478.79492542065,2.56792915778719,0,79052745.083764,22411424.0033967,33471228.4979829,101554470.359855,"10_100_3"
"1203","2020-02-16",5841619.91,2499587.38440726,-1366675.45534159,-131557.699534991,-1584081.96066147,276.147186470797,2.59119573161158,0,79052615.0997091,22410431.2983708,33471228.4979829,100880597.405331,"10_100_3"
"1204","2020-02-23",5115095.26,2511080.41394753,-1635998.74670142,0,-2502688.79050409,127.615078809731,2.59169263942988,0,79052610.6407527,22410376.5553948,33471228.4979829,99835510.279661,"10_100_3"
"1205","2020-03-01",3178917.26,2522573.4434878,-1982306.0168532,0,-1905644.79261158,66.6232174546174,31.8016369955199,0,79052610.4877937,22130389.8558713,33471228.4979829,99817721.4025425,"10_100_3"
"1206","2020-03-08",36760762.07,2534066.46794741,-2153051.20782141,0,-2549151.41333429,147.01462904872,10.0538295668753,0,79136606.0245074,22114840.9821689,33471228.4979829,99083467.9219267,"10_100_3"
"1207","2020-03-15",44275947.01,2545559.49240703,-2106134.78488463,0,-3206280.76783852,97.2621898044867,9.74630509391911,0,79139481.5428664,22113983.2241231,33471228.4979829,98486715.7151683,"10_100_3"
"1208","2020-03-22",52300359.72,2557052.51686664,-2061107.45912031,0,-2140779.80915131,47.9638171496087,9.73981950127137,0,79139580.1771109,22113935.9230191,33471228.4979829,99608739.0523617,"10_100_3"
"1209","2020-03-29",31399641.03,2568544.24008565,-2203349.68415625,0,-2413283.86807361,27.6168883179384,9.7396814071397,0,79139583.5606288,22113933.3146505,33471228.4979829,99205464.9197048,"10_100_3"
"1210","2020-04-05",32570266.98,2580035.96330466,-2433929.44436138,0,-1554339.10948441,26.2081288238258,2.68815034737788,0,80017112.1529655,21761499.3279097,33471228.4979829,100370407.786613,"10_100_3"
"1211","2020-04-12",928.58,2591527.68652366,-2514951.53937304,0,-1280960.26082161,0.373538971759627,0.000125001445452209,0,80046582.8359901,21741895.8111402,33471228.4979829,100584094.907123,"10_100_3"
"1212","2020-04-19",1324.52,2603009.28421905,-2423690.56236992,0,-1152944.65895753,0.14600741724634,5.81262398086033e-09,0,80047593.0673065,21740814.2827158,33471228.4979829,100814781.558921,"10_100_3"
