"","ds","Influencer_S","Social_Media_S","Radio_S","beef","chicken","type","solID"
"156","2021-02-07",4485565.2,1045000,0,NA,NA,"rawSpend","1_91_16"
"157","2021-02-14",3608000.2,1045000,0,NA,NA,"rawSpend","1_91_16"
"158","2021-02-21",2805000.2,910000,0,NA,NA,"rawSpend","1_91_16"
"159","2021-02-28",2805000.2,930000,0,NA,NA,"rawSpend","1_91_16"
"160","2021-03-07",1110000.2,325000,0,NA,NA,"rawSpend","1_91_16"
"161","2021-03-14",45000,325000,0,NA,NA,"rawSpend","1_91_16"
"162","2021-03-21",20000,325000,0,NA,NA,"rawSpend","1_91_16"
"163","2021-03-28",20000,305000,0,NA,NA,"rawSpend","1_91_16"
"164","2021-04-04",0,160000,0,NA,NA,"rawSpend","1_91_16"
"165","2021-04-11",0,135000,0,NA,NA,"rawSpend","1_91_16"
"166","2021-04-18",47000,135000,0,NA,NA,"rawSpend","1_91_16"
"167","2021-04-25",47000,135000,0,NA,NA,"rawSpend","1_91_16"
"168","2021-05-02",47000,135000,0,NA,NA,"rawSpend","1_91_16"
"169","2021-05-09",47000,0,0,NA,NA,"rawSpend","1_91_16"
"170","2021-05-16",97000,0,0,NA,NA,"rawSpend","1_91_16"
"171","2019-10-20",339515.58,30000,0,3.841,2.93,"predictedExposure","1_91_16"
"172","2019-10-27",370265.58,35000,0,3.841,2.93,"predictedExposure","1_91_16"
"173","2019-11-03",3872465.58,35000,0,3.812,2.948,"predictedExposure","1_91_16"
"174","2019-11-10",4517212.35,35000,0,3.812,2.948,"predictedExposure","1_91_16"
"175","2019-11-17",4572212.35,5000,0,3.812,2.948,"predictedExposure","1_91_16"
"176","2019-11-24",4622212.35,0,0,3.812,2.948,"predictedExposure","1_91_16"
"177","2019-12-01",4622212.35,0,0,3.812,2.94,"predictedExposure","1_91_16"
"178","2019-12-08",4655412.35,0,0,3.862,2.94,"predictedExposure","1_91_16"
"179","2019-12-15",4655412.35,15000,0,3.862,2.94,"predictedExposure","1_91_16"
"180","2019-12-22",4645412.35,15000,0,3.862,2.94,"predictedExposure","1_91_16"
"181","2019-12-29",4571012.35,0,0,3.862,2.94,"predictedExposure","1_91_16"
"182","2020-01-05",5040559.92,0,0,3.886,3.113,"predictedExposure","1_91_16"
"183","2020-01-12",1031847.57,12500,0,3.886,3.113,"predictedExposure","1_91_16"
"184","2020-01-19",1216447.57,12500,0,3.886,3.113,"predictedExposure","1_91_16"
"185","2020-01-26",1238447.57,12500,0,3.886,3.113,"predictedExposure","1_91_16"
"186","2020-02-02",1238447.57,12500,0,3.865,3.059,"predictedExposure","1_91_16"
"187","2020-02-09",1235977.57,15000,0,3.865,3.059,"predictedExposure","1_91_16"
"188","2020-02-16",381000,15000,0,3.865,3.059,"predictedExposure","1_91_16"
"189","2020-02-23",341000,15000,0,3.865,3.059,"predictedExposure","1_91_16"
"190","2020-03-01",275638.66,40000,0,3.865,3.013,"predictedExposure","1_91_16"
"191","2020-03-08",375735.12,25000,0,3.881,3.013,"predictedExposure","1_91_16"
"192","2020-03-15",315735.12,25000,0,3.881,3.013,"predictedExposure","1_91_16"
"193","2020-03-22",246335.12,25000,0,3.881,3.013,"predictedExposure","1_91_16"
"194","2020-03-29",206000,25000,0,3.881,3.013,"predictedExposure","1_91_16"
"195","2020-04-05",206000,15000,0,4.052,2.956,"predictedExposure","1_91_16"
"196","2020-04-12",35000,0,0,4.052,2.956,"predictedExposure","1_91_16"
"197","2020-04-19",35000,0,0,4.052,2.956,"predictedExposure","1_91_16"
"198","2020-04-26",35000,0,0,4.052,2.956,"predictedExposure","1_91_16"
"199","2020-05-03",472500,0,0,4.461,3.158,"predictedExposure","1_91_16"
"200","2020-05-10",472500,0,0,4.461,3.158,"predictedExposure","1_91_16"
"201","2020-05-17",472500,0,0,4.461,3.158,"predictedExposure","1_91_16"
"202","2020-05-24",472500,0,14593572,4.461,3.158,"predictedExposure","1_91_16"
"203","2020-05-31",2992500,0,14593572,4.461,3.158,"predictedExposure","1_91_16"
"204","2020-06-07",2992500,5000,14593572,4.737,3.348,"predictedExposure","1_91_16"
"205","2020-06-14",2992500,25000,14593572,4.737,3.348,"predictedExposure","1_91_16"
"206","2020-06-21",3045294.65,25000,14638572,4.737,3.348,"predictedExposure","1_91_16"
"207","2020-06-28",2607794.65,25000,14638572,4.737,3.348,"predictedExposure","1_91_16"
"208","2020-07-05",10339724.99,97500,14638572,4.264,3.349,"predictedExposure","1_91_16"
"209","2020-07-12",13694724.99,102500,14638572,4.264,3.349,"predictedExposure","1_91_16"
"210","2020-07-19",13697724.99,117500,14697234,4.264,3.349,"predictedExposure","1_91_16"
"211","2020-07-26",18195430.34,432500,14697234,4.264,3.349,"predictedExposure","1_91_16"
"212","2020-08-02",18875430.34,795000,58662,4.177,3.221,"predictedExposure","1_91_16"
"213","2020-08-09",18863500,805000,0,4.177,3.221,"predictedExposure","1_91_16"
"214","2020-08-16",18868500,817500,0,4.177,3.221,"predictedExposure","1_91_16"
"215","2020-08-23",18865500,802500,0,4.177,3.221,"predictedExposure","1_91_16"
"216","2020-08-30",18865500,427500,0,4.177,3.221,"predictedExposure","1_91_16"
"217","2020-09-06",20386569.66,427500,0,4.076,3.276,"predictedExposure","1_91_16"
"218","2020-09-13",20344069.66,102500,0,4.076,3.276,"predictedExposure","1_91_16"
"219","2020-09-20",20349069.66,157000,0,4.076,3.276,"predictedExposure","1_91_16"
"220","2020-09-27",20349069.66,157000,0,4.076,3.276,"predictedExposure","1_91_16"
"221","2020-10-04",21049399.2,204000,0,4.008,3.276,"predictedExposure","1_91_16"
"222","2020-10-11",13176399.2,114000,0,4.008,3.302,"predictedExposure","1_91_16"
"223","2020-10-18",2936399.2,99000,0,4.008,3.302,"predictedExposure","1_91_16"
"224","2020-10-25",773399.2,99000,0,4.008,3.302,"predictedExposure","1_91_16"
"225","2020-11-01",773399.2,99000,0,4.008,3.29,"predictedExposure","1_91_16"
"226","2020-11-08",70000,35000,0,4.027,3.29,"predictedExposure","1_91_16"
"227","2020-11-15",160000,35000,0,4.027,3.29,"predictedExposure","1_91_16"
"228","2020-11-22",160000,0,0,4.027,3.29,"predictedExposure","1_91_16"
"229","2020-11-29",160000,1053000,0,4.027,3.29,"predictedExposure","1_91_16"
"230","2020-12-06",194000,1053000,0,3.951,3.412,"predictedExposure","1_91_16"
"231","2020-12-13",159000,1053000,0,3.951,3.412,"predictedExposure","1_91_16"
"232","2020-12-20",159000,1053000,0,3.951,3.412,"predictedExposure","1_91_16"
"233","2020-12-27",159000,1053000,0,3.951,3.412,"predictedExposure","1_91_16"
"234","2021-01-03",4382765.2,1413000,0,3.965,3.293,"predictedExposure","1_91_16"
"235","2021-01-10",4347765.2,1360000,0,3.965,3.293,"predictedExposure","1_91_16"
"236","2021-01-17",4484565.2,1495000,0,3.965,3.293,"predictedExposure","1_91_16"
"237","2021-01-24",4450565.2,1045000,0,3.965,3.293,"predictedExposure","1_91_16"
"238","2021-01-31",4485565.2,1045000,0,3.965,3.293,"predictedExposure","1_91_16"
"239","2021-02-07",4485565.2,1045000,0,3.987,3.26,"predictedExposure","1_91_16"
"240","2021-02-14",3608000.2,1045000,0,3.987,3.26,"predictedExposure","1_91_16"
"241","2021-02-21",2805000.2,910000,0,3.987,3.26,"predictedExposure","1_91_16"
"242","2021-02-28",2805000.2,930000,0,3.987,3.26,"predictedExposure","1_91_16"
