"","ds","dep_var","trend","season","holiday","cag_V","Influencer_S","Social_Media_S","Radio_S","chicken","intercept","depVarHat","solID"
"142","2020-11-22",101570.51,1678117.5138617,-1975586.57830923,41323.5819296917,8860847.46138274,758.831190734657,4457.61753817333,4456.39633224003,5921674.35828332,115756670.250426,14536049.1822094,"5_37_15"
"143","2020-11-29",8557029.85,1684524.34192578,-2019867.78239937,0,8991045.17230145,749.449405107695,110677.172239646,4456.39633224003,5921083.27841578,115756670.250426,14692668.0282206,"5_37_15"
"144","2020-12-06",7991773.83,1690931.16998986,-1914402.57752338,0,8831368.86879836,924.669389709964,265633.607407719,4456.39633224003,5932248.54908114,115756670.250426,14811160.6834757,"5_37_15"
"145","2020-12-13",9361922.85,1697337.99805395,-1811843.96902487,0,8907521.79728426,874.636938954659,319472.448142888,4456.39633224003,5943596.03126832,115756670.250426,15061415.3389957,"5_37_15"
"146","2020-12-20",9594209.12,1703744.82444117,-1730328.02930271,-227713.735513781,8973849.42898431,795.176907150935,319493.926691198,4456.39633224003,5955297.55432628,115756670.250426,14999595.5428659,"5_37_15"
"147","2020-12-27",9373672.97,1710151.6508284,-1567465.80188524,-305428.213048103,9084395.3180464,757.196377945742,319493.926691198,4456.39633224003,5967090.45675054,115756670.250426,15213450.9300934,"5_37_15"
"148","2021-01-03",108552561.5,1716558.47775658,-1312368.60246754,0,8961566.82537406,137964.932865647,379837.639208497,4456.39633224003,5967012.34602463,115756670.250426,15855028.0150941,"5_37_15"
"149","2021-01-10",126812036.4,1722965.30468477,-1119439.49560654,0,8418664.88776231,373430.667804928,425940.504523892,4456.39633224003,5965696.55251848,115756670.250426,15791714.8180201,"5_37_15"
"150","2021-01-17",161617871.4,1729372.13161295,-1121899.23697816,59930.8591234024,8516927.19058621,498662.603304919,456710.170215849,4456.39633224003,5961212.47679035,115756670.250426,16105372.5909878,"5_37_15"
"151","2021-01-24",138491001.1,1735778.95512249,-1247638.04729664,0,8991045.17230145,521708.512332662,406815.613757783,4456.39633224003,5952265.97712809,115756670.250426,16364432.5796781,"5_37_15"
"152","2021-01-31",129906901.8,1742185.77863204,-1309976.38011996,0,8605363.95096728,527370.639515595,343823.472430231,4456.39633224003,5941187.2943516,115756670.250426,15854411.152109,"5_37_15"
"153","2021-02-07",142642873.6,1748592.60214158,-1264270.37443666,0,8708540.37612602,529725.687829657,316273.780109324,4456.39633224003,5927736.19184802,115756670.250426,15971054.6599502,"5_37_15"
"154","2021-02-14",140125960.3,1754999.42565113,-1277305.36564677,-132733.451486248,8580798.4980898,438406.769791673,316262.416453888,4456.39633224003,5917353.9029147,115756670.250426,15602238.5921004,"5_37_15"
"155","2021-02-21",97489595.67,1761406.24916067,-1498611.35444482,0,8740476.02987782,303661.009741759,292578.376791458,4456.39633224003,5911421.95081772,115756670.250426,15515388.6582768,"5_37_15"
"156","2021-02-28",86607398.28,1767813.07267021,-1834029.72524177,0,8789606.68997579,236870.465040355,272814.701686182,4456.39633224003,5907868.4225498,115756670.250426,15145400.0230128,"5_37_15"
"157","2021-03-07",37962702.24,1774219.89617976,-2038021.23610952,0,9135983.0393118,110469.194028138,159460.751301697,4456.39633224003,5902519.65847141,115756670.250426,15049087.6995155,"5_37_15"
"158","2021-03-14",3438460.58,1780626.7196893,-2019789.31309336,0,9332509.3645585,20423.5472632484,68644.182721829,4456.39633224003,5897504.20882799,115756670.250426,15084375.1062998,"5_37_15"
"159","2021-03-21",2895546.44,1787033.54319885,-1958027.17119007,0,9474989.92474445,1504.6145275571,42348.644677276,4456.39633224003,5893370.90147489,115756670.250426,15245676.8537652,"5_37_15"
"160","2021-03-28",2545133.94,1793440.36670839,-2060089.92274482,0,9575709.28873577,62.6805792173542,40180.868852804,4456.39633224003,5890504.82338582,115756670.250426,15244264.5018494,"5_37_15"
"161","2021-04-04",3319059.77,1799847.19021794,-2281872.26337521,0,9310400.23587748,14.0480328251799,24402.5444017373,4456.39633224003,5893658.18816604,115756670.250426,14750906.3396531,"5_37_15"
"162","2021-04-11",2381882.16,1806254.01372748,-2395341.04348469,0,9271095.11822233,12.4508243052253,11856.4600842381,4456.39633224003,5897096.75031257,115756670.250426,14595430.1460185,"5_37_15"
"163","2021-04-18",2634096.81,1812660.83723702,-2324869.21334138,0,9504468.51732882,33.9268918135747,7731.38192196238,4456.39633224003,5901094.90675409,115756670.250426,14905576.7531246,"5_37_15"
"164","2021-04-25",2775396.17,1819067.66074657,-2277489.06339112,0,9248985.98954131,56.2814834084157,7303.40068366496,4456.39633224003,5905860.08132746,115756670.250426,14708240.7467235,"5_37_15"
"165","2021-05-02",2606033,1825474.48425611,-2429230.4190683,0,9472533.60054799,65.9041336339283,7303.22938713706,4456.39633224003,5922413.92065037,115756670.250426,14803017.1162392,"5_37_15"
"166","2021-05-09",44078.7,1831881.30776566,-2543132.73589138,0,9482359.14299082,67.2967969872525,10687.5664404865,4456.39633224003,5938295.6936446,115756670.250426,14724614.6680794,"5_37_15"
"167","2019-10-13",15703190.71,1255237.55082246,-447467.829199757,-345166.603209725,6908878.76836527,1.61067424536403,36.5711584346858,5910.48237304626,38401487.8607138,79723507.3692281,45778918.4116978,"8_54_15"
"168","2019-10-20",16903252.55,1261529.88275289,-1433040.47750409,0,6710096.99327546,43.7628921301502,73.6422899348607,5910.48237304626,40291883.3452032,79723507.3692281,46836497.6312825,"8_54_15"
"169","2019-10-27",17041206.68,1267822.21468332,-1619524.39532203,0,6777973.45454787,102.1592545985,104.295827158516,5910.48237304626,40923484.8025416,79723507.3692281,47355873.0139055,"8_54_15"
"170","2019-11-03",44838814.19,1274114.54811024,-1487533.18502484,0,6843426.23266497,51833.7327017169,120.293110376577,5910.48237304626,41152744.869493,79723507.3692281,47840616.9734285,"8_54_15"
"171","2019-11-10",34654156.8,1280406.88153716,-1518720.20051255,-533940.235476668,6988876.31199897,165213.740887683,130.479903578019,5910.48237304626,41225364.9666317,79723507.3692281,47613242.4273429,"8_54_15"
"172","2019-11-17",36825456.94,1286699.21189061,-1767737.59150878,0,7185233.67668308,190038.231878142,58.0339057714391,5910.48237304626,41247045.6087532,79723507.3692281,48147247.6539751,"8_54_15"
"173","2019-11-24",39523546.72,1292991.54224405,-1979495.08846362,40448.3045177199,7105236.13304938,196336.363979612,1029.31636439976,5910.48237304626,41253121.5737276,79723507.3692281,47915578.6277922,"8_54_15"
