"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","rsq_train","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","iterPar","iterNG","df.int","trial","iterations","solID","robynPareto","total_spend","mean_spend","spend_share","effect_share","roi_mean","roi_total","cpa_total","mean_response","next_unit_response"
"11","trend",0.00871217188738171,130150690.250837,0.0118308215476148,1568080.60543177,0.011833051361176,130150690.250837,0.0118308215476148,1568080.60543177,0.011833051361176,TRUE,-0.0480119922364841,0.253458817772018,0.0041920609990914,141.821186423193,13308729308.8257,0.828875536379527,16056034913.1787,1e-04,15,37,1,5,591,"5_37_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","season",0.0127442354754582,-53352983.120931,-0.0048498369168855,-642807.025553385,-0.00485075098968118,-53352983.120931,-0.0048498369168855,-642807.025553385,-0.00485075098968118,FALSE,-0.0480119922364841,0.253458817772018,0.0041920609990914,141.821186423193,13308729308.8257,0.828875536379527,16056034913.1787,1e-04,15,37,1,5,591,"5_37_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","holiday",0.0164667278220279,-533959.552925526,-4.85374312816252e-05,-31409.3854662074,-0.000237021534580023,-533959.552925526,-4.85374312816252e-05,-31409.3854662074,-0.000237021534580023,FALSE,-0.0480119922364841,0.253458817772018,0.0041920609990914,141.821186423193,13308729308.8257,0.828875536379527,16056034913.1787,1e-04,15,37,1,5,591,"5_37_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","cag_V",245656.985344684,710444912.545619,0.0645801183500368,8559577.25958577,0.0645922900849501,710444912.545619,0.0645801183500368,8559577.25958577,0.0645922900849501,TRUE,-0.0480119922364841,0.253458817772018,0.0041920609990914,141.821186423193,13308729308.8257,0.828875536379527,16056034913.1787,1e-04,15,37,1,5,591,"5_37_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Influencer_S",11216164.4170916,81323449.9521308,0.0073923789583118,979800.601832902,0.00739377223660485,81323449.9521308,0.0073923789583118,979800.601832902,0.00739377223660485,TRUE,-0.0480119922364841,0.253458817772018,0.0041920609990914,141.821186423193,13308729308.8257,0.828875536379527,16056034913.1787,1e-04,15,37,1,5,591,"5_37_15",1,380410712.15,4583261.59216867,0.630155088852325,0.627706341723451,0.0305572511952317,0.213778022949217,4.67774931306923,140051.875765356,0.0597137396398466
"16","Social_Media_S",912802.732181133,6219219.24543106,0.00056533294534497,74930.3523545911,0.000565439496446522,6219219.24543106,0.00056533294534497,74930.3523545911,0.000565439496446522,TRUE,-0.0480119922364841,0.253458817772018,0.0041920609990914,141.821186423193,13308729308.8257,0.828875536379527,16056034913.1787,1e-04,15,37,1,5,591,"5_37_15",1,26989500,325174.698795181,0.0447084433412947,0.0480039073996925,0.0240697764770033,0.230431065615557,4.33969264226016,7826.88231597686,0.0488066341822559
"17","Radio_S",7900613.30576673,42013851.9757729,0.00381909910961902,506190.987659914,0.00381981891415265,42013851.9757729,0.00381909910961902,506190.987659914,0.00381981891415265,TRUE,-0.0480119922364841,0.253458817772018,0.0041920609990914,141.821186423193,13308729308.8257,0.828875536379527,16056034913.1787,1e-04,15,37,1,5,591,"5_37_15",1,196277706,2364791.63855422,0.32513646780638,0.324289750876856,0.00116828283969762,0.214053102779655,4.67173793331739,2762.74549078331,0.00299760913276259
"18","chicken",8653815.52564778,476916176.748692,0.0433521341255293,5745978.03311678,0.0433603049170668,476916176.748692,0.0433521341255293,5745978.03311678,0.0433603049170668,TRUE,-0.0480119922364841,0.253458817772018,0.0041920609990914,141.821186423193,13308729308.8257,0.828875536379527,16056034913.1787,1e-04,15,37,1,5,591,"5_37_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","(Intercept)",79723507.3692281,6617051111.64593,0.601496240415258,79723507.3692281,0.601607205716108,6617051111.64593,0.601496240415258,79723507.3692281,0.601607205716108,TRUE,-0.0482142161578243,0.253483270242071,0.00306973295119725,123.963860460847,13451594906.2522,0.837774363903738,16056034913.1787,1e-04,15,54,1,8,863,"8_54_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","trend",0.00839964524544099,125481870.730727,0.011406421412095,1511829.76784008,0.0114085256928845,125481870.730727,0.011406421412095,1511829.76784008,0.0114085256928845,TRUE,-0.0482142161578243,0.253483270242071,0.00306973295119725,123.963860460847,13451594906.2522,0.837774363903738,16056034913.1787,1e-04,15,54,1,8,863,"8_54_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
