DATE,banner_I,blog_I,coupon_I,email_I,social_I,text_I,website_I,ecom_I,display_I,event_I,other_I,post_I,sweepstakes_I,mail_I,radio_I,circular_I,retailer_I,banner_S,blog_S,coupon_S,email_S,social_S,text_S,website_S,ecom_S,display_S,event_S,other_S,post_S,sweepstakes_S,mail_S,radio_S,circular_S,retailer_S,revenue
5/30/2020,2448133045,384498887,848573033,31356850,0,0,0,0,12030000000,0,0,209434378,0,102600000,625743622,407875000,122015023,14620660.06,2992500,12314557.5,375000,0,0,0,0,21070000,0,0,893342.2,0,3519700,14593572,625000,1745494.6,1312376299
6/6/2020,2448543045,384498887,848573033,31356850,4964080,0,0,0,12030000000,0,0,209434378,0,102600000,625743622,424650000,122015023,14630649.06,2992500,12314557.5,375000,5000,0,0,0,21070000,0,0,893342.2,0,3519700,14593572,650000,1745494.6,1316554838
6/13/2020,2466996993,384498887,848573033,32455674,8519635,0,0,0,12030000000,250000,0,242034378,0,102600000,625743622,424650000,129711527,14690649.06,2992500,12314557.5,401000,37000,0,0,0,21070000,21000,0,953342.2,0,3519700,14593572,650000,1791494.6,1368979915
6/20/2020,2542729024,394982306,856784075,36390213,8519635,0,0,0,12030000000,250000,287239,253004109,0,102600000,628425622,424650000,198518033,14983023.2,3045294.65,12387557.5,511000,37000,0,0,0,21070000,21000,261015.2,1004415.78,0,3519700,14638572,650000,2252465.99,1349694355
6/27/2020,2535979740,341056906,856784075,36390213,8519635,0,0,0,12006000000,15910000,287239,58313071,0,88200000,628425622,41775000,179561522,14932363.14,2607794.65,12387557.5,511000,37000,0,0,0,21070000,33500,261015.2,152023.22,0,3430000,14638572,25000,2052201.94,1159665238
7/4/2020,7964664957,1230103004,856784075,402104389,18087289,0,0,0,12006000000,15910000,287239,85136071,0,88200000,628425622,297775000,1647950977,48809583.14,10339724.99,12387557.5,4363800,109500,0,0,0,21070000,33500,261015.2,163862.77,0,3430000,14638572,25000,20132680.57,2261312683
7/11/2020,8296720432,1682764650,871116053,401317565,18893273,0,0,0,12006000000,15910000,287239,54136071,0,88200000,628425622,297775000,1659443971,50439583.14,13694724.99,16843003,4350300,114500,0,0,0,21070000,33500,261015.2,139862.77,0,3430000,14638572,25000,20184643.12,2157036104
7/18/2020,8363673450,1683022636,873260867,405857561,34085386,62670,0,0,12005000000,250000,528475,141972829,0,88200000,631917622,297775000,1681943971,50689583.14,13697724.99,16894708,4471800,251000,50000,0,0,21070000,21000,486015.2,177902.77,0,3430000,14697234,25000,20424277.12,2132976406
7/25/2020,11128395966,2388251654,2330862650,405857561,72614557,62670,0,0,12005000000,250000,528475,139795483,0,181220000,631917622,297775000,2189586075,66594985,18195430.34,27716208,4471800,566000,50000,0,0,21070000,21000,486015.2,152464.19,0,4660000,14697234,25000,27553926.62,3684777253
8/1/2020,10230343273,2489286119,1482289617,415863339,161491019,62670,318125,0,0,135250000,1019147,211855483,0,93020000,3492000,729775000,2218732402,59794685,18875430.34,15401650.5,4619300,1304350,50000,312500,0,0,741000,931015.2,1170464.19,0,1230000,58662,9086380,27934226.62,2728649449
8/8/2020,10169378223,2488683293,1483191334,412037629,148882778,62670,318125,0,0,135250000,807816,190932483,0,93020000,0,729775000,2196149973,59534897.5,18863500,15431650.5,4507800,1192850,50000,312500,0,0,741000,731015.2,1167124.64,0,1230000,0,9086380,27687060.82,2930930275
8/15/2020,9064058271,2489140796,1483191334,383220779,150302778,62670,318125,0,0,135250000,837515,192147134,0,93020000,0,704775000,2168508823,53154397.5,18868500,15431650.5,4159800,1205350,50000,312500,0,0,741000,756015.2,1207155.84,0,1230000,0,9086380,26972560.82,2844913228
8/22/2020,9678458810,2488882810,1483191334,449756528,257227966,62670,318125,0,2592000000,250000,3051488,188430376,0,93020000,0,704775000,3214631744,54734397.5,18865500,15431650.5,5172300,2335366,50000,312500,0,4050000,21000,2781015.2,1179155.84,0,1230000,0,9086380,31786918.5,2965624887
8/29/2020,9524949785,2488882810,1483191334,449756528,207955341,62670,318125,0,2592000000,250000,2367838,188430376,0,93020000,0,704775000,3179330519,54099697.5,18865500,15431650.5,5172300,1960366,50000,312500,0,4050000,21000,2156015.2,1179155.84,0,1230000,0,9086380,31161918.5,2904827687
9/5/2020,9711758921,2684824518,1486072228,449756528,207955341,62670,405165,0,2596000000,250000,2367838,240120357,0,93020000,0,704775000,3236155013,54751697.5,20386569.66,15994575.8,5172300,1960366,50000,312500,0,4050000,21000,2156015.2,1219824.68,0,1230000,0,9086380,31293708.34,3110125148
9/12/2020,9511269271,2676921099,1468162897,452915318,162698882,0,87040,0,2596000000,250000,2333116,68604372,0,3920000,0,256000000,2862318493,54415332.5,20344069.66,15724870.8,5221800,1635366,0,0,0,4050000,21000,2125000,266967.72,0,735000,0,0,29000465.62,2982914657
9/19/2020,8895256125,2677343099,1468270236,387949569,59934320,0,87040,0,4000000,0,178654,66804372,0,3920000,0,256000000,2105825319,52813832.5,20349069.66,15750392.9,4226300,544850,0,0,0,0,0,150000,209466.27,0,735000,0,0,26732119.62,3005595303
9/26/2020,8919542770,2677343099,1468270236,387949569,59934320,52026,87040,0,4000000,0,178654,89035917,0,3920000,0,256000000,2105706609,52875791.99,20349069.66,15750392.9,4226300,544850,43696.25,0,0,0,0,150000,212618.27,0,735000,0,0,26721889.07,2893747493
10/3/2020,9344890994,2801695847,1468369676,387949569,110810817,52026,130372544,0,9600000,4000000,178654,1947732127,0,3920000,0,324300000,2290550847,56133491.99,21049399.2,15774412.18,4226300,770533.44,43696.25,129600,0,0,80000,150000,333991.15,0,735000,0,140000,26305935.34,3174008923
10/10/2020,6050049615,1640412090,2361783,383971951,98359273,52026,130372544,0,5600000,4000000,119011,1947361076,0,0,0,324300000,2067229969,38008879.49,13176399.2,552466.6752,4161800,655183.44,43696.25,129600,0,0,80000,100000,206143.36,0,0,0,140000,21206347.79,1500179512
10/17/2020,632787957,425243834,3535046,14147775,97167536,52026,130372544,0,5600000,4000000,59535,1947361076,0,0,0,68300000,527762569,4215159.49,2936399.2,567466.6752,265000,640183.44,43696.25,129600,0,0,80000,50000,206143.36,0,0,0,140000,2414347.79,525769061.5
10/24/2020,518028247,137068383,1661622,0,56665386,52026,130285504,0,5600000,4000000,29734,1941255495,0,0,0,68300000,508695483,3648659.49,773399.2,103226.6752,0,277683.44,43696.25,129600,0,0,80000,25000,215730.36,0,0,0,140000,2301124.63,423708878.6
